NO_OF_FRAMES	24000
NO_OF_CAMERAS	18
NO_OF_MARKERS	1
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-11, 09:16:52.722	2649.02526600
DATA_INCLUDED	3D
MARKER_NAMES	marker
TRAJECTORY_TYPES	Measured
Frame	Time	marker X	marker Y	marker Z	
1	0.00000	1312.947	69.804	538.494
2	0.00500	1307.692	68.336	538.259
3	0.01000	1302.595	66.935	538.020
4	0.01500	1297.116	65.512	537.740
5	0.02000	1291.856	64.066	537.453
6	0.02500	1286.576	62.714	537.146
7	0.03000	1281.241	61.341	536.828
8	0.03500	1275.904	59.992	536.555
9	0.04000	1270.617	58.585	536.283
10	0.04500	1265.328	57.236	536.035
11	0.05000	1259.971	55.849	535.842
12	0.05500	1254.575	54.447	535.655
13	0.06000	1249.148	53.039	535.564
14	0.06500	1243.683	51.637	535.487
15	0.07000	1238.151	50.168	535.447
16	0.07500	1232.494	48.646	535.457
17	0.08000	1226.803	47.154	535.499
18	0.08500	1221.038	45.632	535.634
19	0.09000	1215.240	44.100	535.733
20	0.09500	1209.402	42.571	535.929
21	0.10000	1203.607	41.005	536.123
22	0.10500	1197.801	39.494	536.290
23	0.11000	1191.998	37.950	536.515
24	0.11500	1186.225	36.388	536.756
25	0.12000	1180.451	34.923	536.977
26	0.12500	1174.729	33.435	537.172
27	0.13000	1168.974	31.984	537.326
28	0.13500	1163.241	30.536	537.438
29	0.14000	1157.441	29.125	537.543
30	0.14500	1151.632	27.666	537.613
31	0.15000	1145.776	26.237	537.665
32	0.15500	1139.880	24.849	537.700
33	0.16000	1133.942	23.421	537.752
34	0.16500	1127.979	22.044	537.801
35	0.17000	1121.973	20.667	537.904
36	0.17500	1115.965	19.349	538.116
37	0.18000	1109.975	18.044	538.395
38	0.18500	1104.048	16.744	538.827
39	0.19000	1098.173	15.517	539.304
40	0.19500	1092.347	14.318	539.951
41	0.20000	1086.661	13.221	540.645
42	0.20500	1081.011	12.153	541.424
43	0.21000	1075.522	11.137	542.320
44	0.21500	1070.124	10.224	543.265
45	0.22000	1064.839	9.415	544.207
46	0.22500	1059.657	8.676	545.183
47	0.23000	1054.510	8.008	546.212
48	0.23500	1049.451	7.419	547.208
49	0.24000	1044.414	6.912	548.179
50	0.24500	1039.489	6.500	549.203
51	0.25000	1034.549	6.121	550.284
52	0.25500	1029.619	5.812	551.310
53	0.26000	1024.741	5.549	552.440
54	0.26500	1019.886	5.390	553.641
55	0.27000	1015.132	5.258	554.898
56	0.27500	1010.382	5.156	556.237
57	0.28000	1005.691	5.139	557.653
58	0.28500	1001.106	5.173	559.128
59	0.29000	996.611	5.315	560.628
60	0.29500	992.195	5.504	562.167
61	0.30000	987.905	5.799	563.689
62	0.30500	983.733	6.183	565.214
63	0.31000	979.650	6.679	566.658
64	0.31500	975.753	7.296	568.067
65	0.32000	971.871	7.961	569.413
66	0.32500	968.124	8.786	570.661
67	0.33000	964.413	9.657	571.843
68	0.33500	960.771	10.589	572.988
69	0.34000	957.129	11.566	574.049
70	0.34500	953.466	12.608	575.086
71	0.35000	949.844	13.650	576.103
72	0.35500	946.170	14.783	577.101
73	0.36000	942.489	15.931	578.117
74	0.36500	938.815	17.143	579.161
75	0.37000	935.169	18.395	580.225
76	0.37500	931.557	19.697	581.355
77	0.38000	927.986	21.050	582.498
78	0.38500	924.458	22.505	583.656
79	0.39000	921.048	23.968	584.865
80	0.39500	917.710	25.572	586.053
81	0.40000	914.503	27.293	587.265
82	0.40500	911.452	29.108	588.449
83	0.41000	908.509	31.049	589.567
84	0.41500	905.789	33.136	590.663
85	0.42000	903.212	35.320	591.675
86	0.42500	900.777	37.680	592.662
87	0.43000	898.419	40.163	593.536
88	0.43500	896.196	42.796	594.401
89	0.44000	894.060	45.453	595.234
90	0.44500	891.993	48.204	596.091
91	0.45000	889.995	51.034	596.919
92	0.45500	888.021	53.886	597.791
93	0.46000	886.030	56.783	598.678
94	0.46500	884.034	59.781	599.608
95	0.47000	882.111	62.860	600.564
96	0.47500	880.236	66.004	601.554
97	0.48000	878.395	69.222	602.584
98	0.48500	876.594	72.493	603.615
99	0.49000	874.989	75.874	604.677
100	0.49500	873.512	79.331	605.696
101	0.50000	872.152	82.901	606.673
102	0.50500	870.948	86.572	607.580
103	0.51000	869.891	90.327	608.406
104	0.51500	869.030	94.209	609.058
105	0.52000	868.302	98.216	609.523
106	0.52500	867.648	102.303	609.854
107	0.53000	867.110	106.495	610.005
108	0.53500	866.589	110.717	609.976
109	0.54000	866.048	114.968	609.814
110	0.54500	865.505	119.289	609.521
111	0.55000	864.884	123.586	609.077
112	0.55500	864.154	127.921	608.549
113	0.56000	863.373	132.268	607.948
114	0.56500	862.475	136.600	607.318
115	0.57000	861.452	140.970	606.639
116	0.57500	860.417	145.306	605.998
117	0.58000	859.280	149.689	605.384
118	0.58500	858.190	154.055	604.787
119	0.59000	857.116	158.482	604.241
120	0.59500	856.093	162.926	603.709
121	0.60000	855.158	167.441	603.169
122	0.60500	854.374	171.993	602.615
123	0.61000	853.627	176.588	602.013
124	0.61500	853.005	181.264	601.326
125	0.62000	852.481	186.026	600.518
126	0.62500	851.975	190.904	599.596
127	0.63000	851.605	195.863	598.501
128	0.63500	851.321	200.884	597.289
129	0.64000	851.092	205.989	595.962
130	0.64500	850.880	211.116	594.452
131	0.65000	850.686	216.313	592.872
132	0.65500	850.481	221.503	591.237
133	0.66000	850.288	226.779	589.520
134	0.66500	850.090	232.060	587.753
135	0.67000	849.898	237.377	585.967
136	0.67500	849.667	242.774	584.165
137	0.68000	849.437	248.200	582.402
138	0.68500	849.309	253.732	580.677
139	0.69000	849.237	259.260	579.091
140	0.69500	849.293	264.774	577.524
141	0.70000	849.476	270.280	576.087
142	0.70500	849.832	275.799	574.661
143	0.71000	850.340	281.344	573.169
144	0.71500	851.021	286.920	571.626
145	0.72000	851.807	292.548	569.937
146	0.72500	852.782	298.329	567.960
147	0.73000	853.870	304.204	565.845
148	0.73500	855.005	310.144	563.411
149	0.74000	856.134	316.151	560.737
150	0.74500	857.301	322.154	557.918
151	0.75000	858.413	328.183	554.931
152	0.75500	859.419	334.152	551.793
153	0.76000	860.286	340.124	548.666
154	0.76500	860.983	346.088	545.590
155	0.77000	861.488	351.954	542.667
156	0.77500	861.823	357.711	539.887
157	0.78000	862.032	363.361	537.383
158	0.78500	862.065	368.942	535.048
159	0.79000	862.020	374.469	533.011
160	0.79500	861.944	380.021	531.212
161	0.80000	861.867	385.576	529.605
162	0.80500	861.989	391.124	528.206
163	0.81000	862.318	396.742	526.837
164	0.81500	862.931	402.447	525.532
165	0.82000	863.928	408.261	524.147
166	0.82500	865.251	414.168	522.551
167	0.83000	866.943	420.331	520.798
168	0.83500	868.930	426.591	518.744
169	0.84000	871.121	433.015	516.474
170	0.84500	873.529	439.475	513.936
171	0.85000	876.056	445.943	511.104
172	0.85500	878.595	452.374	508.054
173	0.86000	881.040	458.778	504.858
174	0.86500	883.271	465.117	501.540
175	0.87000	885.249	471.343	498.117
176	0.87500	886.887	477.533	494.735
177	0.88000	888.150	483.637	491.514
178	0.88500	889.039	489.567	488.435
179	0.89000	889.581	495.310	485.602
180	0.89500	889.886	500.858	483.028
181	0.90000	890.006	506.279	480.712
182	0.90500	890.064	511.640	478.594
183	0.91000	890.109	516.970	476.658
184	0.91500	890.301	522.382	474.827
185	0.92000	890.780	527.912	473.073
186	0.92500	891.664	533.598	471.382
187	0.93000	893.029	539.372	469.646
188	0.93500	894.971	545.302	467.879
189	0.94000	897.431	551.306	465.951
190	0.94500	900.392	557.423	463.923
191	0.95000	903.717	563.606	461.689
192	0.95500	907.259	569.791	459.278
193	0.96000	910.893	575.929	456.690
194	0.96500	914.470	582.016	453.959
195	0.97000	917.928	588.056	451.153
196	0.97500	921.163	594.012	448.349
